,nome,localizacao,foto
169,Juily Manghirmalani,Guarulhos/SP,./Mulheres Palestrantes_files/AAIAAgDGAAAAAQAAAAAAAA1PAAAAJGI3YTM0ZGI2LTI4ODItNGY1OS04Y2VkLWZkYWJiOTBiZmVmOA.jpg
170,Júlia Albuquerque,São Paulo/SP,./Mulheres Palestrantes_files/fb39d8165fcc2edf3375d0eba8b0d6ff.jpeg
171,Julia Stateri,Maceió/AL,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjwAAAAJDkzYmFkMTU3LTYwNjUtNDFlOC04NWVhLTRiMDZjZTU0ZTlkZg.jpg
172,Juliana de Bittencourt Escobar,Campinas/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAjqAAAAJGNkYjM1YTgzLTYxMzItNDkyMC1iNGUxLWJjMjBiYzg0YmNlMA.jpg
173,Juliana Carvalho,Porto Alegre/RS,./Mulheres Palestrantes_files/AAMABADGAAwAAQAAAAAAAA6zAAAAJGRjMGVhYmE3LTQ5ZTgtNGU3Yy04NTJkLTQ5NTU2NjJlNDllOA.jpg
174,Juliana Chahoud,João Pessoa/PB,./Mulheres Palestrantes_files/placeholder-female.jpg
175,Juliana Félix Nunes,São Paulo/SP,./Mulheres Palestrantes_files/3291727
176,Juliana Fernandes,Goiânia/GO,./Mulheres Palestrantes_files/037d35f865f95571c3194b4c84a4915b.jpeg
177,Juliana Fernandes,Porto Alegre/RS,./Mulheres Palestrantes_files/placeholder-female.jpg
178,Juliana Guerra,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAviAAAAJGFhMzc0MDFiLWZjNTAtNDE1YS1hZGE2LWYxMjU3MTRkZWJmMg.jpg
179,Juliana Hercowitz,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAd8AAAAJDc0MTdjYWJjLWQxYTMtNGQ1NS1hNDQxLWIwZjAxNmZmZjhmMA.jpg
180,Juliana Wallauer,São Paulo/SP,./Mulheres Palestrantes_files/AAIA_wDGAAAAAQAAAAAAAAxxAAAAJDc0NTMyMGNmLWI3MGUtNGRlOC05ZGEwLWI1MGYzMjkzODkwOQ.jpg
181,Juliene Alves,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAl0AAAAJDM1OWFmZTI2LTM0OTQtNDMwMy1hN2Q2LTUyODgzNjg5YTNhZg.jpg
182,Julyane Miranda,Recife/PE,./Mulheres Palestrantes_files/APVpL4L6_400x400.jpg
183,Karen Figueiredo,Rio de Janeiro/RJ,./Mulheres Palestrantes_files/ad74bd0e6c00310471c4761e1ec73f5d
184,Karina Girardi Roggia,Cuiabá/MT,./Mulheres Palestrantes_files/5774b104265c725d9ea7e65b5411a2c2.jpeg
185,Karina Martins,Joinville/SC,./Mulheres Palestrantes_files/placeholder-female.jpg
186,Karla Patriota Bronsztein,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
187,Kathlen Amado,Recife/PE,./Mulheres Palestrantes_files/3bae151.jpg
188,Kelly Kiyumi,Brasília/DF,./Mulheres Palestrantes_files/82810bb4e5c8a9caecda9f48ed285ffc.jpeg
189,Krystal Campioni,São Paulo/SP,./Mulheres Palestrantes_files/891f39aa823d65aed365e0b801a58af8.jpeg
190,Laís Carvalho,São Paulo/SP,./Mulheres Palestrantes_files/2b1fd1c.jpg
191,Lais de Lima,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAROAAAAJDdiM2Q2ZGMyLWY5NGUtNDUxOC1iZmRmLWE0MGEyNDdhOTE4Mg.jpg
192,Larissa Sá ,Belém/PA,./Mulheres Palestrantes_files/55ea4b542e9aef1c4cfc45e30100b9a9
193,Laura Gurgel,Brasilia/DF,./Mulheres Palestrantes_files/placeholder-female.jpg
194,Laura Nobrega,São Paulo/SP,./Mulheres Palestrantes_files/AAEAAQAAAAAAAAeOAAAAJDY0Yzc1ZDk4LTExYTItNGJkZS1hNWViLTAxZWQyYTllNjQwMw.jpg
195,Letícia Passarelli Canova,São Paulo/SP,./Mulheres Palestrantes_files/placeholder-female.jpg
